Level,density.csv,LeniencyMetric.csv,LevelSlopeMetric.csv,LinearityMetric.csv,Patterndensity.csv,patternvariation.csv
SMB-w1-l1_final,0.037234043,0.7694350961538462,0.008770387334032985,0.024911897926013924,0.122494191,0.303879947
SMB-w1-l2_final,0.141935484,0.35714285714285715,0.016536117213572156,0.03747367305472749,0.043917606,0.210132365
SMB-w1-l3_final,0.795774648,0.45751269035532993,-0.0025892636233062274,0.001086274108267828,0.216623328,0.447718806
SMB-w2-l1_final,0.063157895,0.6159953703703704,-0.0083548689319136,0.021733082451272496,0.099841295,0.300557055
SMB-w2-l3_final,0.91627907,0.7904320987654321,0.002183665869416931,0.00859113492830134,0.104259841,0.293388578
SMB-w3-l1_final,0.121052632,0.2777777777777778,-0.0058233434375299905,0.012033104632278252,0.135505269,0.333619827
SMB-w3-l2_final,0.030150754,0.768611111111111,-0.014290235856670162,0.07421819332984167,0.18416112,0.286387296
SMB-w3-l3_final,0.907801418,0.5347251308900524,-0.003316500243790379,0.0015312998721923074,0.236936427,0.363419826
SMB-w4-l1_final,0.069767442,0.773940329218107,-0.0011035328202382182,0.0005443625157980817,0.094744188,0.146361649
SMB-w4-l2_final,0.1875,0.35714285714285715,0.002366196430314333,0.001115569150009057,0.038583175,0.147619633
SMB-w4-l3_final,0.919708029,0.48561224489795923,0.008846914092455416,0.010530210411018991,0.228906326,0.284249066
SMB-w5-l1_final,0.056410256,0.743072429906542,-0.010577981044610706,0.02976043920759875,0.201725998,0.389312944
SMB-w5-l2_final,0.131578947,0.6878571428571428,-0.005345514672849261,0.011607306311131204,0.096274898,0.300557055
SMB-w5-l3_final,0.795774648,0.4479396984924623,-0.0038576017207709325,0.002409262623521362,0.216623328,0.491154212
SMB-w6-l1_final,0.210227273,0.5189220183486238,-0.005185866521074263,0.012424528400217887,0.119084584,0.254233813
SMB-w6-l2_final,0.112612613,0.7467333333333332,0.009485522153963704,0.03908756735035314,0.08256034,0.198105032
SMB-w6-l3_final,0.917197452,0.392595744680851,-0.016982549131502902,0.05114229839725398,0.214029698,0.16771556
SMB-w7-l1_final,0.029585799,0.8022994652406417,-0.0009402798112040666,0.0002613990364702007,0.223416965,0.486810672
SMB-w7-l3_final,0.91627907,0.8294583333333333,0.0011654630451637328,0.0028286062576938884,0.113775494,0.293388578
SMB-w8-l1_final,0.142076503,0.5812142857142858,-0.002653940541875982,0.005768940957190854,0.133320023,0.163833284
SMB-w8-l2_final,0.165048544,0.47229245283018867,0.012452443962438803,0.05956831127522868,0.15167732,0.429303795
SMB-w8-l3_final,0.093137255,0.8585840707964602,0.013947467495964394,0.05209160488342233,0.106443277,0.309937656
